ts_utc,date_utc,time_utc,volume,range_pips
2022-03-28 08:45:00+0000,2022-03-28,08:45,3181.9100000000317,30.7
2022-03-29 09:05:00+0000,2022-03-29,09:05,3746.7100000000096,43.4
2022-03-29 11:40:00+0000,2022-03-29,11:40,4159.820000000074,34.8
2022-03-29 11:45:00+0000,2022-03-29,11:45,5838.600000000018,41.1
2022-03-31 13:10:00+0000,2022-03-31,13:10,2564.7800000000393,37.3
2022-03-31 14:55:00+0000,2022-03-31,14:55,4960.159999999968,35.1
2022-04-06 18:00:00+0000,2022-04-06,18:00,6659.849999999932,30.9
2022-04-07 11:05:00+0000,2022-04-07,11:05,3737.489999999996,27.5
2022-04-12 12:30:00+0000,2022-04-12,12:30,5924.159999999916,25.4
2022-04-14 11:45:00+0000,2022-04-14,11:45,6396.290000000005,45.6
2022-04-14 12:35:00+0000,2022-04-14,12:35,4634.4600000000255,27.6
2022-04-14 13:40:00+0000,2022-04-14,13:40,3716.6800000000608,30.9
2022-04-14 13:50:00+0000,2022-04-14,13:50,3666.940000000064,31.9
2022-04-14 15:05:00+0000,2022-04-14,15:05,1619.83999999999,28.8
2022-04-20 09:35:00+0000,2022-04-20,09:35,2035.9500000000128,28.5
2022-04-21 06:30:00+0000,2022-04-21,06:30,4750.860000000015,25.9
2022-04-25 06:10:00+0000,2022-04-25,06:10,2756.7900000000154,36.9
2022-04-25 11:20:00+0000,2022-04-25,11:20,3826.560000000005,25.6
2022-04-28 05:45:00+0000,2022-04-28,05:45,1459.1600000000074,27.0
2022-04-28 07:15:00+0000,2022-04-28,07:15,1718.4700000000123,27.9
2022-04-28 12:30:00+0000,2022-04-28,12:30,5465.099999999964,38.5
2022-05-04 18:00:00+0000,2022-05-04,18:00,6707.439999999777,37.5
2022-05-04 18:30:00+0000,2022-05-04,18:30,7728.719999999888,42.0
2022-05-04 18:35:00+0000,2022-05-04,18:35,8087.749999999902,43.8
2022-05-04 18:40:00+0000,2022-05-04,18:40,6984.589999999758,51.6
2022-05-04 18:45:00+0000,2022-05-04,18:45,7497.609999999879,35.3
2022-05-04 18:50:00+0000,2022-05-04,18:50,7041.68000000001,25.6
2022-05-04 19:00:00+0000,2022-05-04,19:00,7525.739999999746,37.6
2022-05-04 19:05:00+0000,2022-05-04,19:05,5475.239999999791,25.0
2022-05-06 07:50:00+0000,2022-05-06,07:50,3102.0300000000207,44.6
2022-05-06 12:30:00+0000,2022-05-06,12:30,7541.199999999924,25.6
2022-05-06 13:50:00+0000,2022-05-06,13:50,2856.280000000056,30.3
2022-05-11 12:30:00+0000,2022-05-11,12:30,6561.459999999843,41.7
2022-05-11 12:35:00+0000,2022-05-11,12:35,5808.45999999983,29.9
2022-05-12 07:10:00+0000,2022-05-12,07:10,3383.4500000000444,39.1
2022-05-12 07:15:00+0000,2022-05-12,07:15,4734.4600000000955,25.3
2022-05-17 10:15:00+0000,2022-05-17,10:15,2907.20000000001,36.7
2022-05-23 08:15:00+0000,2022-05-23,08:15,4012.1200000000017,27.3
2022-05-24 07:00:00+0000,2022-05-24,07:00,3131.550000000037,35.4
2022-05-31 10:50:00+0000,2022-05-31,10:50,3482.220000000053,28.8
2022-06-01 14:00:00+0000,2022-06-01,14:00,3165.1700000000023,25.7
2022-06-09 11:40:00+0000,2022-06-09,11:40,3230.6599999999903,26.2
2022-06-09 11:45:00+0000,2022-06-09,11:45,8769.99999999989,57.3
